# Rule: 90
#          Mesh length: 99
#            Timesteps: 1000
# Boundaries condition:periodic
#-------------------------------------------------------------------------------
timestep;density;entropy;lambdaL;lambdaR
0;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1;0.5000000000;0.1425733303;0.0000000000;0.0000000000
2;0.0202020202;0.1425733303;0.0000000000;0.0000000000
3;0.0404040404;0.2441416424;0.0000000000;0.0000000000
4;0.0202020202;0.1425733303;0.0000000000;0.0000000000
5;0.0404040404;0.2441416424;0.0000000000;0.0000000000
6;0.0404040404;0.2441416424;0.0000000000;0.0000000000
7;0.0808080808;0.4050201326;0.0000000000;0.0000000000
8;0.0202020202;0.1425733303;0.0000000000;0.0000000000
9;0.0404040404;0.2441416424;0.0000000000;0.0000000000
10;0.0404040404;0.2441416424;0.0000000000;0.0000000000
11;0.0808080808;0.4050201326;0.0000000000;0.0000000000
12;0.0404040404;0.2441416424;0.0000000000;0.0000000000
13;0.0808080808;0.4050201326;0.0000000000;0.0000000000
14;0.0808080808;0.4050201326;0.0000000000;0.0000000000
15;0.1616161616;0.6381619453;0.0000000000;0.0000000000
16;0.0202020202;0.1425733303;0.0000000000;0.0000000000
17;0.0404040404;0.2441416424;0.0000000000;0.0000000000
18;0.0404040404;0.2441416424;0.0000000000;0.0000000000
19;0.0808080808;0.4050201326;0.0000000000;0.0000000000
20;0.0404040404;0.2441416424;0.0000000000;0.0000000000
21;0.0808080808;0.4050201326;0.0000000000;0.0000000000
22;0.0808080808;0.4050201326;0.0000000000;0.0000000000
23;0.1616161616;0.6381619453;0.0000000000;0.0000000000
24;0.0404040404;0.2441416424;0.0000000000;0.0000000000
25;0.0808080808;0.4050201326;0.0000000000;0.0000000000
26;0.0808080808;0.4050201326;0.0000000000;0.0000000000
27;0.1616161616;0.6381619453;0.0000000000;0.0000000000
28;0.0808080808;0.4050201326;0.0000000000;0.0000000000
29;0.1616161616;0.6381619453;0.0000000000;0.0000000000
30;0.1616161616;0.6381619453;0.0000000000;0.0000000000
31;0.3232323232;0.9078619154;0.0000000000;0.0000000000
32;0.0202020202;0.1425733303;0.0000000000;0.0000000000
33;0.0404040404;0.2441416424;0.0000000000;0.0000000000
34;0.0404040404;0.2441416424;0.0000000000;0.0000000000
35;0.0808080808;0.4050201326;0.0000000000;0.0000000000
36;0.0404040404;0.2441416424;0.0000000000;0.0000000000
37;0.0808080808;0.4050201326;0.0000000000;0.0000000000
